iter	Logloss
275	0.1144070483
276	0.1142331032
277	0.1139757131
278	0.1137356867
279	0.1135201526
280	0.1133840184
281	0.1133021784
282	0.1131585486
283	0.1128871369
284	0.1127651187
285	0.1126221351
286	0.1124688195
287	0.1123773336
288	0.1122041289
289	0.1121190127
290	0.1118846975
291	0.1116726274
292	0.1114523291
293	0.1113434743
294	0.11121393
295	0.1111089121
296	0.1109584204
297	0.1107637914
298	0.1106661366
299	0.1105788392
300	0.1104326222
301	0.1102286111
302	0.1100803399
303	0.1099687864
304	0.1098628528
305	0.1098007035
306	0.109726334
307	0.1095695011
308	0.1094366274
309	0.1092667408
310	0.1091868221
311	0.1090862614
312	0.1089124447
313	0.1087856184
314	0.1085892547
315	0.1084917284
316	0.1083352353
317	0.1081980305
318	0.1080839696
319	0.1079324285
320	0.107756948
321	0.1077068936
322	0.1075927117
323	0.1074403648
324	0.1073412766
325	0.1072061552
326	0.1071001129
327	0.1069831578
328	0.1068520667
329	0.1067640663
330	0.1065902744
331	0.1064859838
332	0.1063551909
333	0.1062274068
334	0.1061583523
335	0.1059387762
336	0.1057332595
337	0.1056301352
338	0.1054772879
339	0.1053853242
340	0.1053423681
341	0.1052773337
342	0.1052225549
343	0.1051134164
344	0.1049728558
345	0.1047682231
346	0.1046217279
347	0.1045056757
348	0.1044132129
349	0.1042061998
350	0.1041094602
351	0.1039809769
352	0.1038546785
353	0.1037726728
354	0.1037126387
355	0.1035722465
356	0.1034797933
357	0.1032786631
358	0.1031454414
359	0.1029996232
360	0.1028413743
361	0.102674615
362	0.102534077
363	0.1023816347
364	0.1023079862
365	0.1022098221
366	0.1020924728
367	0.1019893016
368	0.1019251457
369	0.1018431495
370	0.1017055724
371	0.1015725205
372	0.1014082067
373	0.1012266437
374	0.1011207362
375	0.1009949807
376	0.1008723559
377	0.1007596191
378	0.1006504119
379	0.1005891469
380	0.1004939486
381	0.1003501949
382	0.1002090159
383	0.1001573763
384	0.1000968752
385	0.09999974847
386	0.09988864968
387	0.09974286748
388	0.09960563031
389	0.09949849005
390	0.09940290142
391	0.09922193649
392	0.09909480894
393	0.0989995599
394	0.0989641612
395	0.09880187351
396	0.09865847574
397	0.09861151053
398	0.0984558051
399	0.0983577157
400	0.09819989854
401	0.09817468897
402	0.09799492241
403	0.09789202548
404	0.09777323084
405	0.0976898112
406	0.09766541576
407	0.09754604565
408	0.09744711393
409	0.09728053114
410	0.09713640143
411	0.0970329833
412	0.09694087765
413	0.09681602228
414	0.09674185613
415	0.09667922338
416	0.096604975
417	0.09649116425
418	0.09638930007
419	0.0963317522
420	0.09623010376
421	0.09618963676
422	0.0960694005
423	0.09595154604
424	0.09583362169
425	0.09574522437
426	0.09565890404
427	0.09553997453
428	0.09542608414
429	0.09528207532
430	0.09519188948
431	0.09512211209
432	0.09495378415
433	0.09477877706
434	0.09466191437
435	0.09460424522
436	0.09447078721
437	0.09438459814
438	0.0943154483
439	0.09424769248
440	0.0941214304
441	0.09408495346
442	0.09395409468
443	0.09387261292
444	0.09372071764
445	0.0936575972
446	0.09357810261
447	0.09350748242
448	0.09345672129
449	0.09336334823
450	0.09327761223
451	0.09321453823
452	0.09312513733
453	0.09305610524
454	0.09298089997
455	0.09286366916
456	0.09278752075
457	0.09268859398
458	0.09259610369
459	0.09247993106
460	0.09236140235
461	0.09229981778
462	0.09223951111
463	0.0921256472
464	0.0920760827
465	0.09203607726
466	0.09201163084
467	0.09186613912
468	0.09174885048
469	0.09168559143
470	0.09166836477
471	0.09160123374
472	0.09146340483
473	0.09135169431
474	0.0912503684
475	0.09115357016
476	0.09113754195
477	0.09105884265
478	0.09096639462
479	0.09088920365
480	0.09077562553
481	0.09065922964
482	0.09056578116
483	0.09050149652
484	0.09038525374
485	0.09025749471
486	0.09023694251
487	0.09021822364
488	0.09017701689
489	0.09008306199
490	0.08998754069
491	0.08984640573
492	0.08977659598
493	0.08963005
494	0.08959480441
495	0.08952184237
496	0.08950254562
497	0.08942047564
498	0.08934504118
499	0.08926517619
500	0.08917548698
501	0.08910095869
502	0.08900041928
503	0.08888611522
504	0.08885132536
505	0.08883745747
506	0.0887126972
507	0.08863262105
508	0.08854177163
509	0.08843984136
510	0.08837508931
511	0.08826845077
512	0.08825618564
513	0.08818947686
514	0.08804829378
515	0.08803589274
516	0.08795431395
517	0.08784972759
518	0.08769746224
519	0.08760678061
520	0.08753491908
521	0.0875066314
522	0.08740047795
523	0.0873075501
524	0.08722568841
525	0.08711617037
526	0.08699470843
527	0.08695638018
528	0.0869195327
529	0.08682601599
530	0.08678457567
531	0.08668257285
532	0.08667125665
533	0.08652664381
534	0.08638720523
535	0.08630233647
536	0.086181173
537	0.08610542146
538	0.08598706463
539	0.08590162905
540	0.08586130151
541	0.08578119289
542	0.08569065761
543	0.08562145728
544	0.08550921784
545	0.08544834017
546	0.08534325478
547	0.0852502578
548	0.08512594056
549	0.08511590102
550	0.08509027285
551	0.08500496676
552	0.08494627336
553	0.08483507989
554	0.08472332886
555	0.084663322
556	0.0846485248
557	0.08456141282
558	0.08444028075
559	0.08433263877
560	0.08424203682
561	0.08414063129
562	0.08406881552
563	0.0839877435
564	0.08388444288
565	0.08381121381
566	0.08369881247
567	0.08364455087
568	0.08360847431
569	0.08354207175
570	0.08353304765
571	0.08344293271
572	0.08332848597
573	0.08332010481
574	0.08322077075
575	0.08308828007
576	0.0830446345
577	0.08299414331
578	0.082896309
579	0.08284839585
580	0.08277901647
581	0.08272331
582	0.08264376414
583	0.08254010202
584	0.0824504844
585	0.0823746077
586	0.08226604553
587	0.08222452194
588	0.0821412076
589	0.08209366345
590	0.08206251402
591	0.08197524914
592	0.08192986882
593	0.0819137789
594	0.08177543168
595	0.08169063685
596	0.08164432237
597	0.08157593192
598	0.0815072191
599	0.08141576134
600	0.0813165488
601	0.08125009563
602	0.08115689163
603	0.08109150739
604	0.0810180187
605	0.08100248439
606	0.08091970221
607	0.08084879323
608	0.08083566749
609	0.08082702878
610	0.0807778327
611	0.08069822986
612	0.08065873674
613	0.08059292672
614	0.08053401053
615	0.08040829118
616	0.08032263693
617	0.08020778138
618	0.08012423346
619	0.08007624855
620	0.0800157497
621	0.07996028569
622	0.07989667254
623	0.07977867923
624	0.07973779685
625	0.07967050349
626	0.07958709845
627	0.07953928637
628	0.07947049897
629	0.07937800352
630	0.07929457666
631	0.0791885835
632	0.0791060474
633	0.07899585271
634	0.07894964034
635	0.07888405379
636	0.07882729647
637	0.07880608567
638	0.07877034025
639	0.07869405225
640	0.07861086101
641	0.07855478308
642	0.07848216469
643	0.07843005918
644	0.07835259485
645	0.07826573948
646	0.07818739358
647	0.07816596448
648	0.07812026775
649	0.07807415773
650	0.07801132741
651	0.07797062841
652	0.07792953235
653	0.07788323801
654	0.07786327214
655	0.07780739184
656	0.07774175819
657	0.07771683086
658	0.07761577178
659	0.07754807467
660	0.07745742095
661	0.07744280951
662	0.07738781635
663	0.07735577418
664	0.07728240917
665	0.07721131017
666	0.07715239084
667	0.07706095722
668	0.07699710056
669	0.07687189588
670	0.07681732991
671	0.07679396724
672	0.07675786317
673	0.07666932444
674	0.07661418282
675	0.07656333719
676	0.07653907167
677	0.0764515925
678	0.07641527032
679	0.07640304166
680	0.07630719378
681	0.07623400079
682	0.07613877351
683	0.07605724316
684	0.07599565706
685	0.07593711074
686	0.07588868076
687	0.07582190038
688	0.07573084651
689	0.07568798855
690	0.07565313867
691	0.07555771263
692	0.07552882622
693	0.07546952292
694	0.07540131797
695	0.07533921326
696	0.07530654513
697	0.07523882421
698	0.07517300081
699	0.07509938564
700	0.07503270364
701	0.0749051554
702	0.07486111822
703	0.07476371634
704	0.0746578125
705	0.07460917421
706	0.07456796587
707	0.07446605762
708	0.07441780646
709	0.07436563799
710	0.07431189228
711	0.07425006233
712	0.07415520062
713	0.07407220094
714	0.07403048934
715	0.07392781972
716	0.07389386221
717	0.07385290029
718	0.07380836723
719	0.07373900313
720	0.07365409127
721	0.07359641728
722	0.07353208491
723	0.0735064039
724	0.07349978921
725	0.07344057993
726	0.07333082703
727	0.07327979765
728	0.07327366045
729	0.07323987954
730	0.07314980665
731	0.07306509936
732	0.07303642065
733	0.07300535303
734	0.07292408068
735	0.07285723417
736	0.07279853503
737	0.0726935776
738	0.0726097042
739	0.07258956335
740	0.07258166113
741	0.07250090614
742	0.07247793387
743	0.07241323041
744	0.07236114117
745	0.07232437859
746	0.07228435659
747	0.07220925311
748	0.07213187102
749	0.07210356769
750	0.07204319682
751	0.07199415986
752	0.07196391224
753	0.07189655038
754	0.07179871986
755	0.07171908016
756	0.07168545568
757	0.07165850772
758	0.07159390303
759	0.07156420731
760	0.07152043432
761	0.07145903563
762	0.07141375755
763	0.07130787929
764	0.07126635909
765	0.07119385227
766	0.07110974147
767	0.07109769945
768	0.07105816679
769	0.07100071671
770	0.07093785843
771	0.07084964746
772	0.07077368721
773	0.07073178266
774	0.07064663963
775	0.07058940571
776	0.0705342929
777	0.0704774587
778	0.07041123463
779	0.07035075665
780	0.0702931605
781	0.07022374307
782	0.07014544408
783	0.07008405255
784	0.07001553033
785	0.06997104413
786	0.06991034261
787	0.06982953569
788	0.06976726123
789	0.06973198155
790	0.0697195288
791	0.06966228121
792	0.0696050828
793	0.06953816715
794	0.0694713737
795	0.06939784633
796	0.06933356883
797	0.06929689937
798	0.06924715367
799	0.06921430091
800	0.06915744916
801	0.06913526156
802	0.06911981419
803	0.06906481415
804	0.06902361419
805	0.06899737925
806	0.06895078156
807	0.06888313744
808	0.06881638078
809	0.0687641733
810	0.06870084508
811	0.06863888499
812	0.06859028948
813	0.06849770909
814	0.06847147499
815	0.06840963809
816	0.06834823191
817	0.06832136618
818	0.06826994196
819	0.06821777609
820	0.06819988539
821	0.06816833805
822	0.06811325043
823	0.06805127866
824	0.06799419478
825	0.06793675726
826	0.06788135153
827	0.06785634272
828	0.06780761034
829	0.06777167273
830	0.06773968849
831	0.06768514541
832	0.06763301152
833	0.06756008067
834	0.06751818045
835	0.06747654692
836	0.0674182965
837	0.06737178173
838	0.06732300881
839	0.06726450706
840	0.06722559538
841	0.06718914903
842	0.06713848757
843	0.06707960103
844	0.06700515602
845	0.06694637749
846	0.06687633654
847	0.06682617665
848	0.06675706278
849	0.06670570908
850	0.06665986851
851	0.06662132932
852	0.06656221008
853	0.06654812238
854	0.06649648902
855	0.06644273024
856	0.06638553134
857	0.06635419508
858	0.066311889
859	0.0662518157
860	0.06619826482
861	0.06614762133
862	0.06604170487
863	0.06600782265
864	0.06593694649
865	0.06590358511
866	0.06584612047
867	0.0658383628
868	0.06576631448
869	0.06571795989
870	0.06567878978
871	0.06566537121
872	0.06564315532
873	0.06559863205
874	0.06558862725
875	0.06554730907
876	0.06549967543
877	0.06544626103
878	0.06541755021
879	0.06535651044
880	0.06529889973
881	0.06525630795
882	0.06520773451
883	0.06516426655
884	0.06514394077
885	0.06509293396
886	0.06505441707
887	0.06500937527
888	0.06496271781
889	0.06489989593
890	0.0648796048
891	0.06483944654
892	0.06482916358
893	0.06481965879
894	0.06477999653
895	0.06473708281
896	0.06467130828
897	0.06465296353
898	0.06461327742
899	0.06453946834
900	0.06449190808
901	0.06443655814
902	0.06438316567
903	0.0643436854
904	0.06427869997
905	0.06421804373
906	0.06412712423
907	0.0640698887
908	0.06399100995
909	0.06392308329
910	0.06387331581
911	0.06382438761
912	0.06377926469
913	0.06369904058
914	0.06367095722
915	0.06366271472
916	0.06362694234
917	0.06359291111
918	0.06355765812
919	0.06351795025
920	0.0634818922
921	0.0634611101
922	0.06340181742
923	0.0633504231
924	0.06328729061
925	0.0632042234
926	0.06315788296
927	0.06311107105
928	0.06304653088
929	0.06298510055
930	0.06293434951
931	0.06289348308
932	0.0628896117
933	0.06283799137
934	0.06277867077
935	0.06274754638
936	0.06271289283
937	0.06266929944
938	0.06260741472
939	0.0625406088
940	0.06248675805
941	0.06244753621
942	0.06240758731
943	0.06234466484
944	0.062281697
945	0.06223379614
946	0.06217210044
947	0.06214067911
948	0.06210878883
949	0.0620598178
950	0.06202468396
951	0.0619283972
952	0.06185284022
953	0.06178535565
954	0.0617484423
955	0.06167837077
956	0.0616230424
957	0.0615696108
958	0.06152788124
959	0.06148635523
960	0.06143429401
961	0.06139484302
962	0.06138520293
963	0.06132451528
964	0.06128855251
965	0.06122707797
966	0.06120405226
967	0.06117009006
968	0.06113085912
969	0.06107350898
970	0.06102715859
971	0.06100002767
972	0.06096865857
973	0.06095234222
974	0.06091830372
975	0.06087023912
976	0.06080316819
977	0.06079856119
978	0.06078891299
979	0.06077633288
980	0.06073103985
981	0.06068150115
982	0.06064668664
983	0.06060001307
984	0.06054685715
985	0.06051904789
986	0.06049268564
987	0.060464947
988	0.06042176109
989	0.06038935965
990	0.06036930387
991	0.06032584155
992	0.0603107772
993	0.06029216166
994	0.06024193865
995	0.06019837765
996	0.06015009564
997	0.06010324435
998	0.06008152558
999	0.06004629683
